Eczane Adı;İletişim No;Enlem;Boylam;Adres
ÜZÜMLÜ;0 - (332) 524 - 6114;37.679796;31.724299;Üzümlü Mahallesi Üzümlü Caddesi No:83
ZEYNEP;0 - (332) 525 - 1219;37.679796;31.724299;Doğanbey  Mahallesi Doğanbey  Caddesi No:33C
ONUR;0 - (332) 512 - 0511;37.6700739;31.7394939;Esentepe Mahallesi 40525. Sokak No:2G
DİLEK;0 - (332) 512 - 7174;37.6837354;31.728653;Müftü Mah. Şehit Orhan Parlakkaya Cad. No:16AB
YILDIZ;0 - (332) 512 - 6512;37.679796;31.724299;Yeni Mahalle 41309. Sokak No:6A
HARMAN;0 - (332) 512 - 0012;37.6785071;31.7292107;Evsat Mahallesi Orhan Özgür Caddesi No:11A
AY IŞIĞI;0 - (332) 512 - 6611;37.679796;31.724299;Yeni Mahalle 41309. Sokak No:4A
BETÜL;0 - (507) 568 - 7168;37.6837354;31.728653;Müftü Mah. Şehit Orhan Parlakkaya Cad. No:16C
ŞİFA;0 - (332) 512 - 4491;37.677119;31.7246446;Evsat Mahallesi Antalya Caddesi No:2I
CANER;0 - (332) 512 - 7337;37.672576;31.735093;Esentepe Mahallesi 40525. Sokak No:2D
DEMİRÖZ;0 - (332) 426 - 3383;37.1893894;32.2446449;Yukarı Mahalle Fevzi Paşa Caddesi No:21G
GÜVEN;0 - (332) 426 - 3433;37.1902024;32.2447105;Cumhuriyet Mahallesi Cumhuriyet Caddesi No:1A
ÜZÜMAĞI;0 - (332) 426 - 2923;37.1897866;32.2459077;Yukarı Mahalle Fevzi  Paşa Caddesi No:24C
GÖKTÜRK;0 - (332) 426 - 2839;37.189349;32.244633;Yukarı Mahalle Fevzi Paşa Caddesi No:13A
BOZKIR;0 - (332) 426 - 2020;37.189352;32.246437;Cumhuriyet Mahallesi İsmet İnönü Caddesi No:9D
Vural;0 - (332) 425 - 1154;37.225649;32.5485873;Sarıoğlan Mahallesi 56010 Sokak 5B
ATASEVEN;0 - (332) 426 - 1297;37.189185;32.243536;Yukarı Mahalle Fevzi Paşa Caddesi No:5A
KARAKAŞ;0 - (332) 426 - 3036;37.189927;32.2472331;Demirasaf Mahallesi Demirasaf Caddesi No:7B
ŞAKİROĞLU;0 - (332) 426 - 1299;37.1893994;32.2429071;Yukarı Mahalle Fevzi Paşa Caddesi No:6
YENİ SAĞLAM;0 - (530) 461 - 8747;37.189231;32.24409;Yukarı Mah. Fevzi Paşa Cad. No:9A
ATASOY;0 - (332) 425 - 1378;37.6969211;32.5755937;Sarıoğlan Mahallesi Bozkır Caddesi No:8/1D
MURAT;0 - (332) 673 - 1260;38.6568454;32.9237872;Atçeken Mahallesi Konya Caddesi Özel İdare Dükkanları No:25C
YENİCEOBA;0 - (332) 676 - 1074;38.871383;32.831015;Yeniceoba Mahallesi Yeniceoba Caddesi No:110A
SAĞLIK;0 - (332) 676 - 2504;38.871383;32.831015;Yeniceoba Mahallesi Yeniceoba Caddesi No:88A
UMUT;0 - (332) 676 - 1114;38.871383;32.831015;Yeniceoba Mahallesi Yeniceoba Caddesi No:77C
DENİZ;0 - (332) 676 - 2827;38.871383;32.831015;Yeniceoba Mahallesi Yeniceoba Caddesi No:73G
TAŞKIRAN;0 - (332) 673 - 1624;38.6566534;32.9216002;Atçeken Mahallesi Ali Öztok Caddesi No:23
KAYHAN;0 - (332) 673 - 4131;38.6652089;32.9215983;Atçeken Mahallesi Hastane Caddesi No:50C
BÜŞRA;0 - (332) 673 - 2526;38.656883;32.923303;Köprübaşı Mahallesi İnönü Caddesi No:65A-65B
ÇOBANOĞLU;0 - (332) 673 - 4763;38.6652089;32.9215983;Atçeken Mahallesi Hastane Caddesi No:52A,Necip Fazıl Kısakürek Caddesi No:1A
KÖKER;0 - (332) 673 - 1121;38.6652089;32.9215983;Atçeken Mahallesi Hastane Caddesi No:54D
Bozdağ;0 - (332) 673 - 2504;38.6651679;32.9217027;Atçeken Mah. Hastane Cad. No:50B
İLTER;0 - (506) 447 - 8324;38.557117;32.750101;Karabağ Mah. 63722. Sok. No:1A
KART;0 - (553) 986 - 0708;38.6491895;32.9291304;Cumhuriyet Mah. Mustafa Kerimoğlu Cad. No:42B
HAYAT;0 - (332) 673 - 4272;39.9549417;32.8242096;Köprübaşı Mahallesi Fatih Sultan Mehmet Bulvarı No:6B
FİDAN;0 - (332) 871 - 2021;39.0135679;31.7921837;Selçuk Mahallesi Mevlana Caddesi No: 14B
GÜLLECİ;0 - (332) 871 - 2777;39.023429;31.790552;Bahçelievler Mahallesi 70619.Sokak No:6A
YENİ ÖZKAN;0 - (332) 407 - 0010;37.5652964;32.7760029;Bakkalbaşı Mahallesi 73402. Sokak No:5A
EMRE;0 - (332) 447 - 1068;37.573899;32.781038;Meydan Mahallesi Hastane Caddesi No:7
HAYAT;0 - (332) 447 - 7601;37.5652964;32.7760029;Bakkalbaşı Mah. 73400. Sokak No:9A
OKÇU;0 - (332) 447 - 5148;37.5709814;32.7810072;İzzetbey Mahallesi Gazi Caddesi No:24B
MERKEZ;0 - (332) 447 - 1205;37.5720543;32.7799075;İzzetbey Mahallesi Gazi Caddesi No:9B
SAĞLIK;0 - (332) 447 - 2067;37.5718038;32.7819411;İzzetbey Mahallesi Alparslan Türkeş Caddesi No:30C
İÇERİÇUMRA;0 - (332) 458 - 1220;37.580907;32.660962;İçeriçumra Mahallesi 74879. Sokak  No:2
NEVİN;0 - (332) 447 - 5115;37.573899;32.781038;Meydan Mahallesi Şeker Hoca Caddesi No:4G
YENİ;0 - (332) 447 - 1073;37.5707231;32.783165;İzzetbey Mah. Hükümet Cad. No:13C
ULUKAYA;0 - (332) 452 - 5148;37.675227;32.884914;Karkın Mahallesi İbrahim Dağ Caddesi No:5B
ALİBEYHÜYÜĞÜ;0 - (555) 863 - 4155;37.531191;32.662339;Alibeyhüyüğü Mahallesi 74020 Sok. No:4E
KUZEY;0 - (332) 447 - 1505;37.5648724;32.7912358;Çayırbaşı Mahallesi Menekşe Caddesi No:88
DEVA;0 - (332) 447 - 2848;37.5718366;32.7801725;İzzetbey Mahallesi Gazi Caddesi No:13A
ŞİFA;0 - (332) 447 - 1318;37.5710068;32.7832193;İzzetbey Mahallesi Hükümet Caddesi No:6A
BAĞCI;0 - (332) 447 - 2266;37.57191;32.779808;İzzetbey Mahallesi Gazi Caddesi No:10A
Eker;0 - (505) 332 - 6990;37.573899;32.781038;Meydan Mahallesi Şeker Hoca Cad. No:3 k/1
BETÜL;0 - (506) 808 - 9240;37.573237;32.780205;Bardakçı Mahallesi İstiklal Caddesi No:16E
YENİ MERKEZ;0 - (332) 447 - 4488;37.573899;32.781038;Meydan Mahallesi Hastane Caddesi No:9A-9B
ERSÖZ;0 - (332) 447 - 6222;37.573899;32.781038;Meydan Mahallesi Şeker Hoca Caddesi No:4J
YASEMİN;0 - (332) 442 - 1211;37.580907;32.660962;İçeriçumra Mahallesi 74879. Sokak No:2/3
DERBENT;0 - (332) 561 - 2335;38.013432;32.015323;Camiikebir Mahallesi 81102. Sokak 17A
DEREBUCAK;0 - (332) 537 - 1323;37.3862527;31.5098787;Kenankuyu Mahallesi İbradı Caddesi No:23A
MERKEZ;0 - (332) 556 - 1780;38.1476179;31.6789264;Pazar Mahallesi 85005. Sokak No:13A
YAREN;0 - (332) 556 - 0101;37.8705847;32.4842569;Şıh Mahallesi Kazım Karabekir Caddesi No:21A
HİSAR;0 - (332) 556 - 1275;38.145955;31.67675;Pazar Mahallesi İsmet Paşa Caddesi No:69A
AKARSU;0 - (541) 863 - 8900;38.1440406;31.678202;Kuz Mahallesi İsmet Paşa Caddesi No:45A
